Name,Price,Image URL,Product URL
Whey Protein (2000g),"83,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-whey-fresenius-2kg-kolner-liste_1_1.jpg",https://www.bodylab24.de/bodylab24-whey-protein-2000g.html
Omega-3 (120 Kapseln),"9,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-small-iml0.5-omega-3-120gelcaps.jpg",https://www.bodylab24.de/omega-3-120-kapseln-24841.html
Whey Protein (1000g),"43,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-whey-fresenius-1kg-clean-vanilla.png",https://www.bodylab24.de/bodylab24-whey-protein-1000g.html
Creatine (Creapure®) (500g),"30,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/c/r/creatine-creapure-fresenius_1.jpg",https://www.bodylab24.de/bodylab24-creatine-creapure-500g.html
Vitamin A-Z (120 Tabletten),"15,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-small-iml0.5-vitamine-120tabs.jpg",https://www.bodylab24.de/multi-vitamine-a-z-120-kapseln.html
Glutamin Powder (500g),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-glutamine-500g-iml1.2vk-int.jpg",https://www.bodylab24.de/glutamin-powder-500g.html
Testo Extreme (120 Kapseln),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-testo-extreme-120caps.jpg",https://www.bodylab24.de/testo-extreme-120-kapseln.html
Clear Whey Isolate (1200g),"63,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-clear-whey-isolate-1200g.jpg",https://www.bodylab24.de/clear-whey-isolate-1200g.html
Crunchy Protein Bar (12x64g),"23,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-crunchy-protein-bar-display-open-choco-bownie.jpg",https://www.bodylab24.de/crunchy-protein-bar-12x64g.html
Creatine Powder (500g),"12,50€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/c/r/creatine_powder_-_koelner_liste.jpg",https://www.bodylab24.de/bodylab24-creatine-powder-500g.html
Crispy Protein Bar (12x65g),"30,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-crispy-protein-bar-display-white-chocolate_2.jpg",https://www.bodylab24.de/bodylab24-protein-bar-12x65g.html
100% Peanut Butter (1000g),"15,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-superfoods-peanutbutter-smooth-1000g.jpg",https://www.bodylab24.de/bodylab24-100-peanut-butter-1000g.html
BCAA (120 Kapseln),"5,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-bcaa-120caps-0_5iml.jpg",https://www.bodylab24.de/bodylab24-bcaa-120-kapseln.html
EAA Essential Amino Acids (360g),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-eaa-360g-1_2vk-iml-cherry.jpg",https://www.bodylab24.de/eaa-essential-amino-acids-360g.html
Whey Protein Isolat (2000g),"75,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-bucket-2kg-whey-isolate-neutral-1600px_1.jpg",https://www.bodylab24.de/bodylab24-whey-protein-isolat-2000g.html
Zinc Bisglycinate (120 Kapseln),"17,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-zinc-120caps.jpg",https://www.bodylab24.de/zinc-bisglycinate-120-kapseln.html
L-Citrulline Malate (500g),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-l-citrulline-500g-1_2vk-iml.jpg",https://www.bodylab24.de/bodylab24-l-citrullin-malate-500g.html
Calcium Magnesium Complex (120 Tabletten),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-calsium-magnesium-120tabs.jpg",https://www.bodylab24.de/bodylab24-calcium-magnesium-complex-120-tabletten.html
Pre Workout Booster (300g),"24,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-pre-booster-300g-1_2vk-iml-orange.jpg",https://www.bodylab24.de/pre-workout-booster-300g.html
Protein-6 (2000g),"75,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-buckets-2kg-protein-6_2_1.jpg",https://www.bodylab24.de/bodylab24-protein-6-2000g.html
